Reference_Date,Company_CNPJ,Company_Name,Movement_Date,Movement_Type,Version,Company_Type,Company,Position_Type,Movement_Description,Operation_Type,Asset_Type,Security_Characteristic,Intermediary,Quantity,Unit_Price,Volume,File_Type
2018-12-01,00.000.000/0001-91,BANCO DO BRASIL S.A.,2018-12-03,Venda à vista,2,Companhia,BCO BRASIL S.A.,Diretor ou Vinculado,,Débito,Ações,ON,Brasil Plural CCTVM S/A,440,45.0000000000,19800.0000000000,Consolidated
2018-12-01,00.000.000/0001-91,BANCO DO BRASIL S.A.,2018-12-14,Venda à vista,2,Companhia,BCO BRASIL S.A.,Conselho de Administração ou Vinculado,,Débito,Ações,ON,ConcordiS.A. CVMCC,227,44.0000000000,9988.0000000000,Consolidated
2018-12-01,00.000.000/0001-91,BANCO DO BRASIL S.A.,2018-12-20,Desligamento/saída,2,Companhia,BCO BRASIL S.A.,Diretor ou Vinculado,,Débito,Ações,ON,,31254,0.0000000000,0.0000000000,Consolidated
2018-12-01,00.000.000/0001-91,BANCO DO BRASIL S.A.,2018-12-20,Venda à vista,2,Companhia,BCO BRASIL S.A.,Diretor ou Vinculado,,Débito,Ações,ON,Votorantim Asset Manag DTVM,400,44.3000000000,17720.0000000000,Consolidated
2018-12-01,00.000.000/0001-91,BANCO DO BRASIL S.A.,2018-12-21,Desligamento/saída,2,Companhia,BCO BRASIL S.A.,Diretor ou Vinculado,,Débito,Ações,ON,,26689,0.0000000000,0.0000000000,Consolidated
2018-12-01,00.416.968/0001-01,BANCO INTER S.A.,2018-12-05,Venda à vista,1,Companhia,BANCO INTER S.A.,Diretor ou Vinculado,,Débito,Ações,PN,Inter DTVM Ltda.,10000,39.2180000000,392180.0000000000,Consolidated
2018-12-01,00.416.968/0001-01,BANCO INTER S.A.,2018-12-06,Venda à vista,1,Companhia,BANCO INTER S.A.,Diretor ou Vinculado,,Débito,Ações,PN,Inter DTVM Ltda.,10000,39.5061000000,395061.0000000000,Consolidated
2018-12-01,00.416.968/0001-01,BANCO INTER S.A.,2018-12-07,Venda à vista,1,Companhia,BANCO INTER S.A.,Diretor ou Vinculado,,Débito,Ações,PN,Inter DTVM Ltda.,5000,39.5182000000,197591.0000000000,Consolidated
2018-12-01,00.416.968/0001-01,BANCO INTER S.A.,2018-12-10,Venda à vista,1,Companhia,BANCO INTER S.A.,Órgão Estatutário ou Vinculado,,Débito,Ações,PN,Inter DTVM Ltda.,290,40.7706900000,11823.5001000000,Consolidated
2018-12-01,00.416.968/0001-01,BANCO INTER S.A.,2018-12-18,Venda à vista,1,Companhia,BANCO INTER S.A.,Órgão Estatutário ou Vinculado,,Débito,Ações,PN,Inter DTVM Ltda.,9117,37.7122500000,343822.5832500000,Consolidated
2018-12-01,00.416.968/0001-01,BANCO INTER S.A.,2018-12-19,Venda à vista,1,Companhia,BANCO INTER S.A.,Diretor ou Vinculado,,Débito,Ações,PN,Inter DTVM Ltda.,4500,38.2811100000,172264.9950000000,Consolidated
2018-12-01,00.416.968/0001-01,BANCO INTER S.A.,2018-12-20,Venda à vista,1,Companhia,BANCO INTER S.A.,Diretor ou Vinculado,,Débito,Ações,PN,Inter DTVM Ltda.,4400,38.3968200000,168946.0080000000,Consolidated
2018-12-01,00.416.968/0001-01,BANCO INTER S.A.,2018-12-21,Venda à vista,1,Companhia,BANCO INTER S.A.,Conselho de Administração ou Vinculado,,Débito,Ações,PN,Inter DTVM Ltda.,500,39.2000000000,19600.0000000000,Consolidated
2018-12-01,00.416.968/0001-01,BANCO INTER S.A.,2018-12-26,Venda à vista,1,Companhia,BANCO INTER S.A.,Diretor ou Vinculado,,Débito,Ações,PN,Inter DTVM Ltda.,1000,38.9000000000,38900.0000000000,Consolidated
2018-12-01,00.416.968/0001-01,BANCO INTER S.A.,2018-12-27,Venda à vista,1,Companhia,BANCO INTER S.A.,Diretor ou Vinculado,,Débito,Ações,PN,Inter DTVM Ltda.,2000,38.8450000000,77690.0000000000,Consolidated
2018-12-01,00.416.968/0001-01,BANCO INTER S.A.,2018-12-28,Venda à vista,1,Companhia,BANCO INTER S.A.,Diretor ou Vinculado,,Débito,Ações,PN,Inter DTVM Ltda.,6000,38.8616700000,233170.0200000000,Consolidated
2018-12-01,00.622.416/0001-41,STATKRAFT ENERGIAS RENOVÁVEIS S.A.,2018-12-14,Subscrição,1,Companhia,STATKRAFT ENERGIAS RENOVAVEIS S.A.,Controlador ou Vinculado,,Crédito,Ações,ON,,14023470,5.6055100000,78608701.3197000000,Consolidated
2018-12-01,00.864.214/0001-06,ENERGISA SA,2018-12-17,Subscrição,1,Companhia,ENERGISA S.A.,Controlador ou Vinculado,,Crédito,Ações,ON,Empresa,23265301,6.7000000000,155877516.7000000000,Consolidated
2018-12-01,01.104.937/0001-70,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,2018-12-04,Compra à vista,1,Companhia,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,Conselho de Administração ou Vinculado,,Crédito,Ações,ON,Votorantim,100,57.6600000000,5766.0000000000,Consolidated
2018-12-01,01.104.937/0001-70,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,2018-12-04,Venda à vista,1,Companhia,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,Conselho de Administração ou Vinculado,,Débito,Ações,ON,Votorantim,100,57.6500000000,5765.0000000000,Consolidated
2018-12-01,01.104.937/0001-70,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,2018-12-06,Compra à vista,1,Companhia,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,Conselho de Administração ou Vinculado,,Crédito,Ações,ON,Votorantim,800,57.5000000000,46000.0000000000,Consolidated
2018-12-01,01.104.937/0001-70,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,2018-12-06,Venda à vista,1,Companhia,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,Conselho de Administração ou Vinculado,,Débito,Ações,ON,Votorantim,400,57.6100000000,23044.0000000000,Consolidated
2018-12-01,01.104.937/0001-70,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,2018-12-13,Compra à vista,1,Companhia,ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR,Conselho de Administração ou Vinculado,,Crédito,Ações,ON,Votorantim,100,56.0000000000,5600.0000000000,Consolidated
2018-12-01,01.545.826/0001-07,GAFISA SA,2018-12-03,Compra à termo,1,Companhia,GAFISA S.A.,Conselho de Administração ou Vinculado,,Crédito,Ações,ON,Corretora Planner,60000,16.0041300000,960247.8000000000,Consolidated
2018-12-01,01.545.826/0001-07,GAFISA SA,2018-12-03,Compra à vista,1,Companhia,GAFISA S.A.,Conselho de Administração ou Vinculado,,Crédito,Ações,ON,Corretora Planner,71600,15.8190200000,1132641.8320000000,Consolidated
2018-12-01,01.545.826/0001-07,GAFISA SA,2018-12-03,Venda à vista,1,Companhia,GAFISA S.A.,Conselho de Administração ou Vinculado,,Débito,Ações,ON,Corretora Planner,60000,15.8300000000,949800.0000000000,Consolidated
2018-12-01,01.545.826/0001-07,GAFISA SA,2018-12-04,Compra à termo,1,Companhia,GAFISA S.A.,Conselho de Administração ou Vinculado,,Crédito,Ações,ON,Planner Corretora,60000,16.0425200000,962551.2000000000,Consolidated
