Reference_Date,Company_CNPJ,Company_Name,Movement_Date,Movement_Type,Version,Company_Type,Company,Position_Type,Movement_Description,Operation_Type,Asset_Type,Security_Characteristic,Intermediary,Quantity,Unit_Price,Volume,File_Type
2025-12-01,92.715.812/0001-31,CPFL TRANSMISSÃO S.A.,2025-12-05,Outras Entradas,2,Companhia,CPFL Transmissão S.A.,Controlador ou Vinculado,Conversão de ações Ordinárias em ações Preferenciais,Crédito,Ações,PN,,8891326,0.0,0.0,Consolidated
2025-12-01,92.715.812/0001-31,CPFL TRANSMISSÃO S.A.,2025-12-05,Outras Saídas,2,Companhia,CPFL Transmissão S.A.,Controlador ou Vinculado,Conversão de ações Ordinárias em ações Preferenciais,Débito,Ações,ON,,8891326,0.0,0.0,Consolidated
2025-12-01,92.715.812/0001-31,CPFL TRANSMISSÃO S.A.,2025-12-05,Subscrição,2,Companhia,CPFL Transmissão S.A.,Controlador ou Vinculado,,Crédito,Ações,ON,,6609576,170.8591455624,1129306507.8897457,Consolidated
2026-02-01,08.439.659/0001-50,CPFL ENERGIAS RENOVÁVEIS S.A.,2026-02-02,Outras Entradas,2,Companhia,CPFL ENERGIAS RENOVÁVEIS S.A.,Controlador ou Vinculado,Incorporação da CPFL Geração de Energia S.A. pela CPFL Comercialização Brasil S.A.,Crédito,Ações,ON,,290953427,0.0,0.0,Consolidated
2026-02-01,08.439.659/0001-50,CPFL ENERGIAS RENOVÁVEIS S.A.,2026-02-02,Outras Saídas,2,Companhia,CPFL ENERGIAS RENOVÁVEIS S.A.,Controlador ou Vinculado,Incorporação da CPFL Geração de Energia S.A. pela CPFL Comercialização Brasil S.A.,Débito,Ações,ON,,290953427,0.0,0.0,Consolidated
2026-03-01,09.053.134/0001-45,ELFA MEDICAMENTOS S.A.,2026-03-13,Outras Entradas,2,Companhia,Elfa Medicamentos S.A.,Conselho de Administração ou Vinculado,Transferência em decorrência de plano de ações diferidas da Companhia,Crédito,Ações,ON,Itaú,125351,9.4199636221,1180801.859993857,Consolidated
2026-03-01,60.746.948/0001-12,BANCO BRADESCO S.A.,2026-03-02,Outras Entradas,2,Companhia,BCO BRADESCO S.A.,Conselho de Administração ou Vinculado,Desligamento/saída,Crédito,Opção de Compra,OPCAO DE COMPRA PN PRAZO 0826,,50000,0.0,0.0,Consolidated
2026-03-01,60.746.948/0001-12,BANCO BRADESCO S.A.,2026-03-13,Compra à vista,2,Companhia,BCO BRADESCO S.A.,Diretor ou Vinculado,,Crédito,Ações,PN,ÁGORA CTVM SA,1261,19.1513639968,24149.8699999648,Consolidated
2026-03-01,60.746.948/0001-12,BANCO BRADESCO S.A.,2026-03-26,Compra à vista,2,Companhia,BCO BRADESCO S.A.,Conselho de Administração ou Vinculado,,Crédito,Ações,PN,ÁGORA CTVM SA,75660,18.994979778,1437160.17000348,Consolidated
2026-03-01,60.746.948/0001-12,BANCO BRADESCO S.A.,2026-03-26,Venda à vista,2,Companhia,BCO BRADESCO S.A.,Conselho de Administração ou Vinculado,,Débito,Ações,PN,ÁGORA CTVM SA,49800,19.0672088353,949546.99999794,Consolidated
